"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
875,"1","2024-07-06T21:33:00.960571Z",875,"gs://nutritional-table-image-data/resized_images/resized_image_0.jpg","[{""x"":10.44776119402985,""y"":2.0522388059701493,""width"":70.14925373134328,""height"":78.54477611940298,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",15.668,"2024-07-06T21:33:00.960571Z"
876,"1","2024-07-06T21:33:20.526629Z",876,"gs://nutritional-table-image-data/resized_images/resized_image_1.jpg","[{""x"":13.246268656716417,""y"":0.18656716417910446,""width"":77.98507462686567,""height"":98.13432835820895,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",19.225,"2024-07-06T21:33:20.526629Z"
877,"1","2024-07-06T21:33:49.098787Z",877,"gs://nutritional-table-image-data/resized_images/resized_image_10.jpg","[{""x"":9.701492537313431,""y"":4.291044776119403,""width"":76.67910447761194,""height"":91.9776119402984,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",28.275,"2024-07-06T21:33:49.098787Z"
878,"1","2024-07-06T21:34:02.533072Z",878,"gs://nutritional-table-image-data/resized_images/resized_image_100.jpg","[{""x"":11.940298507462686,""y"":4.104477611940299,""width"":77.61194029850746,""height"":89.92537313432837,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",13.049,"2024-07-06T21:34:02.533072Z"
879,"1","2024-07-06T21:34:12.678945Z",879,"gs://nutritional-table-image-data/resized_images/resized_image_101.jpg","[{""x"":8.208955223880597,""y"":5.597014925373134,""width"":84.14179104477611,""height"":69.58955223880598,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",9.774,"2024-07-06T21:34:12.678945Z"
880,"1","2024-07-06T21:34:31.980592Z",880,"gs://nutritional-table-image-data/resized_images/resized_image_102.jpg","[{""x"":2.0522388059701493,""y"":25.74626865671641,""width"":94.0298507462687,""height"":67.91044776119402,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",18.924,"2024-07-06T21:34:31.980592Z"
881,"1","2024-07-06T21:34:40.893585Z",881,"gs://nutritional-table-image-data/resized_images/resized_image_103.jpg","[{""x"":2.9850746268656714,""y"":0.18656716417910446,""width"":93.65671641791045,""height"":98.13432835820895,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",8.433,"2024-07-06T21:34:40.893585Z"
882,"1","2024-07-06T21:34:50.202952Z",882,"gs://nutritional-table-image-data/resized_images/resized_image_104.jpg","[{""x"":21.641791044776117,""y"":18.84328358208955,""width"":69.96268656716418,""height"":76.11940298507463,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",8.972,"2024-07-06T21:34:50.202952Z"
883,"1","2024-07-06T21:34:59.827958Z",883,"gs://nutritional-table-image-data/resized_images/resized_image_105.jpg","[{""x"":2.2388059701492535,""y"":4.291044776119403,""width"":91.04477611940298,""height"":90.48507462686567,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",9.292,"2024-07-06T21:34:59.827958Z"
884,"1","2024-07-06T21:35:10.220639Z",884,"gs://nutritional-table-image-data/resized_images/resized_image_106.jpg","[{""x"":5.7835820895522385,""y"":37.12686567164179,""width"":90.67164179104478,""height"":24.626865671641795,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",10.05,"2024-07-06T21:35:10.220639Z"
885,"1","2024-07-06T21:35:19.601946Z",885,"gs://nutritional-table-image-data/resized_images/resized_image_107.jpg","[{""x"":20.8955223880597,""y"":29.47761194029851,""width"":54.4776119402985,""height"":36.00746268656716,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",9.044,"2024-07-06T21:35:19.601946Z"
886,"1","2024-07-06T21:35:39.005286Z",886,"gs://nutritional-table-image-data/resized_images/resized_image_108.jpg","[{""x"":13.432835820895523,""y"":14.55223880597015,""width"":75.18656716417908,""height"":77.42537313432834,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",19.077,"2024-07-06T21:35:39.005286Z"
887,"1","2024-07-06T21:35:53.320886Z",887,"gs://nutritional-table-image-data/resized_images/resized_image_109.jpg","[{""x"":13.432835820895516,""y"":10.261194029850747,""width"":76.49253731343283,""height"":75.93283582089552,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",13.955,"2024-07-06T21:35:53.320886Z"
888,"1","2024-07-06T21:36:02.440581Z",888,"gs://nutritional-table-image-data/resized_images/resized_image_11.jpg","[{""x"":12.686567164179104,""y"":0.5597014925373134,""width"":77.98507462686567,""height"":91.6044776119403,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",8.764,"2024-07-06T21:36:02.440581Z"
889,"1","2024-07-06T21:36:19.626542Z",889,"gs://nutritional-table-image-data/resized_images/resized_image_110.jpg","[{""x"":16.417910447761194,""y"":30.783582089552237,""width"":52.798507462686565,""height"":33.5820895522388,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",16.89,"2024-07-06T21:36:19.626542Z"
890,"1","2024-07-06T21:36:31.769928Z",890,"gs://nutritional-table-image-data/resized_images/resized_image_111.jpg","[{""x"":8.955223880597014,""y"":33.02238805970149,""width"":77.05223880597015,""height"":35.634328358208954,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",11.822,"2024-07-06T21:36:31.769928Z"
891,"1","2024-07-06T21:36:57.910839Z",891,"gs://nutritional-table-image-data/resized_images/resized_image_112.jpg","[{""x"":17.91044776119401,""y"":2.6119402985074633,""width"":75.93283582089549,""height"":79.85074626865666,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",25.787,"2024-07-06T21:36:57.910839Z"
892,"1","2024-07-06T21:37:22.559398Z",892,"gs://nutritional-table-image-data/resized_images/resized_image_113.jpg","[{""x"":0.7462686567164178,""y"":40.671641791044784,""width"":95.7089552238806,""height"":28.544776119402954,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",24.298,"2024-07-06T21:37:22.559398Z"
893,"1","2024-07-06T21:37:37.513921Z",893,"gs://nutritional-table-image-data/resized_images/resized_image_114.jpg","[{""x"":11.940298507462686,""y"":1.6791044776119404,""width"":78.54477611940298,""height"":91.41791044776119,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",14.605,"2024-07-06T21:37:37.513921Z"
894,"1","2024-07-06T21:37:47.010862Z",894,"gs://nutritional-table-image-data/resized_images/resized_image_115.jpg","[{""x"":4.477611940298507,""y"":6.529850746268656,""width"":88.05970149253731,""height"":86.19402985074628,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",9.184,"2024-07-06T21:37:47.010862Z"
895,"1","2024-07-06T21:41:56.428402Z",895,"gs://nutritional-table-image-data/resized_images/resized_image_116.jpg","[{""x"":14.365671641791044,""y"":7.08955223880597,""width"":65.48507462686567,""height"":78.544776119403,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",249.096,"2024-07-06T21:41:56.428402Z"
896,"1","2024-07-06T21:42:16.068471Z",896,"gs://nutritional-table-image-data/resized_images/resized_image_118.jpg","[{""x"":4.664179104477612,""y"":7.462686567164178,""width"":87.6865671641791,""height"":76.86567164179104,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",19.297,"2024-07-06T21:42:16.068471Z"
897,"1","2024-07-06T21:42:26.248350Z",897,"gs://nutritional-table-image-data/resized_images/resized_image_119.jpg","[{""x"":2.9850746268656714,""y"":7.835820895522389,""width"":91.7910447761194,""height"":88.80597014925372,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",9.85,"2024-07-06T21:42:26.248350Z"
898,"1","2024-07-06T21:42:41.123907Z",898,"gs://nutritional-table-image-data/resized_images/resized_image_12.jpg","[{""x"":13.432835820895523,""y"":2.798507462686567,""width"":74.25373134328359,""height"":92.53731343283582,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",14.524,"2024-07-06T21:42:41.123907Z"
899,"1","2024-07-06T21:43:01.786361Z",899,"gs://nutritional-table-image-data/resized_images/resized_image_120.jpg","[{""x"":0.18656716417910446,""y"":0,""width"":99.81343283582078,""height"":67.53731343283575,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",20.325,"2024-07-06T21:43:01.786361Z"
900,"1","2024-07-06T21:43:13.716841Z",900,"gs://nutritional-table-image-data/resized_images/resized_image_121.jpg","[{""x"":2.6119402985074625,""y"":8.022388059701493,""width"":96.82835820895522,""height"":87.1268656716418,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",11.556,"2024-07-06T21:43:13.716841Z"
901,"1","2024-07-06T21:43:28.093076Z",901,"gs://nutritional-table-image-data/resized_images/resized_image_122.jpg","[{""x"":5.410447761194029,""y"":3.5447761194029854,""width"":88.05970149253734,""height"":88.24626865671644,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",14.019,"2024-07-06T21:43:28.093076Z"
902,"1","2024-07-06T21:43:55.010016Z",902,"gs://nutritional-table-image-data/resized_images/resized_image_123.jpg","[{""x"":6.529850746268656,""y"":0.5597014925373134,""width"":76.11940298507464,""height"":98.69402985074626,""rotation"":0,""rectanglelabels"":[""nutritional_table""],""original_width"":224,""original_height"":224}]",26.555,"2024-07-06T21:43:55.010016Z"
